TCOE_SHAKEOUT

Release,ENVIRONMENT,TC_NAME,PRODUCT_TYPE,ORDERID,CUSTOMER_ID,BILLING_ACC_NUM,SERVICE_ID,TC_START_TIME,ORDER_SUBMITTED_TIME,ORDER_STATUS,ORDER_COMPLETED_TIME,OPERATION,SLAVE,DATAUSAGE,E2ESUBSTATUS,MASTERID,ORDERSUBTIMEFLAG,ORDERUPLOADFLAG,E2EBUNDLECHECK,FORCEFINISH_STARTTIME,FORCEFINISH_ENDTIME,FORCEFINISHFLAG,FOXTEL_JOB,AXIS_JOB,BRIGHTSTAR_JOB,OMFUL_TCD_JOB,OMFUL_MNA_JOB,OMFUL_MWA_JOB,OMFUL_MAJ_JOB,AUTOCAT_JOB,
1611,INT1,Customer Creation_Data Prep_ShakeOut,Other,Not Applicable,2021865866,2001000008843,null,31/03/2017 12:01:27 AM,null,Complete,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,
1611,INT1,Customer Creation_Data Prep_ShakeOut,Other,Order to be generated,null,null,null,31/03/2017 12:08:51 AM,null,Not Applicable,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,


PPS,INT2,Customer Creation_Data Prep_ShakeOut,Other,Order to be generated,null,null,null,31/03/2017 05:41:44 AM,null,Not Applicable,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,
PPS,INT2,Customer Creation_Data Prep_ShakeOut,Other,Order to be generated,null,null,null,31/03/2017 05:36:54 AM,null,Not Applicable,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,
PPS,INT2,Customer Creation_Data Prep_ShakeOut,Other,Order to be generated,null,null,null,31/03/2017 07:01:59 AM,null,Not Applicable,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,
PPS,INT2,CAT01_C01_01_MAXIM_E2E_Connect_DOT Bundle_PIK_Class2_ShakeOut,NBN DOT,Order to be generated,null,null,0395078254,31/03/2017 7:01:34 AM,null,To be generated,null,Connect,7,ShakeOut,NA,SHK_008,No,No,No,null,null,No,No,No,Yes,No,No,Yes,Yes,Yes,
PPS,INT2,Customer Creation_Data Prep_ShakeOut,Other,Not Applicable,2833593053,2043071424798,null,31/03/2017 06:59:37 AM,null,Complete,null,Create,null,ShakeOut,NA,SHK_009,No,No,No,null,null,No,null,No,No,No,No,No,No,No,




No shakeout for OSIT3
